NAME                        VERSION                                  TYPE         
US_export_policy                                                     java-archive  
adduser                     3.118ubuntu5                             deb           
animal-sniffer-annotations  1.14                                     java-archive  
apt                         2.4.8                                    deb           
base-files                  12ubuntu4.2                              deb           
base-passwd                 3.5.52build1                             deb           
bash                        5.1-6ubuntu1                             deb           
bsdutils                    1:2.37.2-4ubuntu3                        deb           
ca-certificates             20211016ubuntu0.22.04.1                  deb           
charsets                                                             java-archive  
checker-qual                3.5.0                                    java-archive  
cldrdata                                                             java-archive  
coreutils                   8.32-4.1ubuntu1                          deb           
curl                        7.81.0-1ubuntu1.6                        deb           
dash                        0.5.11+git20210903+057cd650a4ed-3build1  deb           
debconf                     1.5.79ubuntu1                            deb           
debianutils                 5.5-1ubuntu2                             deb           
diffutils                   1:3.8-0ubuntu2                           deb           
dnsns                                                                java-archive  
dpkg                        1.21.1ubuntu2.1                          deb           
e2fsprogs                   1.46.5-2ubuntu1.1                        deb           
error_prone_annotations     2.0.18                                   java-archive  
findutils                   4.8.0-1ubuntu3                           deb           
fontconfig                  2.13.1-4.2ubuntu5                        deb           
fontconfig-config           2.13.1-4.2ubuntu5                        deb           
fonts-dejavu-core           2.37-2build1                             deb           
gcc-12-base                 12.1.0-2ubuntu1~22.04                    deb           
gpgv                        2.2.27-3ubuntu2.1                        deb           
grep                        3.7-1build1                              deb           
guava                       23.0                                     java-archive  
gzip                        1.10-4ubuntu4.1                          deb           
hostname                    3.23ubuntu2                              deb           
init-system-helpers         1.62                                     deb           
j2objc-annotations          1.1                                      java-archive  
jaccess                                                              java-archive  
jce                         1.8.0_362                                java-archive  
jfr                         1.8.0_362                                java-archive  
jsr305                      1.3.9                                    java-archive  
jsse                        1.8.0_362                                java-archive  
libacl1                     2.3.1-1                                  deb           
libapt-pkg6.0               2.4.8                                    deb           
libattr1                    1:2.5.1-1build1                          deb           
libaudit-common             1:3.0.7-1build1                          deb           
libaudit1                   1:3.0.7-1build1                          deb           
libblkid1                   2.37.2-4ubuntu3                          deb           
libbrotli1                  1.0.9-2build6                            deb           
libbz2-1.0                  1.0.8-5build1                            deb           
libc-bin                    2.35-0ubuntu3.1                          deb           
libc6                       2.35-0ubuntu3.1                          deb           
libcap-ng0                  0.7.9-2.2build3                          deb           
libcap2                     1:2.44-1build3                           deb           
libcom-err2                 1.46.5-2ubuntu1.1                        deb           
libcrypt1                   1:4.4.27-1                               deb           
libcurl4                    7.81.0-1ubuntu1.6                        deb           
libdb5.3                    5.3.28+dfsg1-0.8ubuntu3                  deb           
libdebconfclient0           0.261ubuntu1                             deb           
libexpat1                   2.4.7-1ubuntu0.2                         deb           
libext2fs2                  1.46.5-2ubuntu1.1                        deb           
libffi8                     3.4.2-4                                  deb           
libfontconfig1              2.13.1-4.2ubuntu5                        deb           
libfreetype6                2.11.1+dfsg-1ubuntu0.1                   deb           
libgcc-s1                   12.1.0-2ubuntu1~22.04                    deb           
